----------------------------------------------------------------------
|  epoch  |  train_acc  |  val_acc  |  tta_val_acc  |  time_seconds  |
----------------------------------------------------------------------
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to cifar10/cifar-10-python.tar.gz





100%|███████████████████████| 170498071/170498071 [00:11<00:00, 15295598.41it/s]
Extracting cifar10/cifar-10-python.tar.gz to cifar10
/home/riabina/Experiments-estimating-smoothness-for-NanoGPT-and-CNN-on-CIFAR10/cnn_on_cifar10/train_cnn_estimate_blockwise_smoothness.py:369: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  data = torch.load(data_path, map_location=torch.device("cuda"))
Files already downloaded and verified
step:0.6 (8) L_estimated: 356.7501 norm_grad: 104.3073
step:0.6 (9) L_estimated: 230.0187 norm_grad: 60.6602
step:0.6 (10) L_estimated: 261.5388 norm_grad: 73.6753
step:0.6 (11) L_estimated: 753.6887 norm_grad: 177.9213
step:0.6 (12) L_estimated: 1502.3159 norm_grad: 340.9025
step:0.6 (13) L_estimated: 0.1049 norm_grad: 2.4659
step:0.8 (0) L_estimated: 585.9110 norm_grad: 176.4471
step:0.8 (1) L_estimated: 495.7443 norm_grad: 151.8501
step:0.8 (2) L_estimated: 1033.3549 norm_grad: 368.4239
step:0.8 (3) L_estimated: 953.6408 norm_grad: 326.5261
step:0.8 (4) L_estimated: 799.7584 norm_grad: 293.7347
step:0.8 (5) L_estimated: 602.0302 norm_grad: 204.5873
step:0.8 (6) L_estimated: 597.8403 norm_grad: 144.1296
step:0.8 (7) L_estimated: 226.9063 norm_grad: 53.7872
step:0.8 (8) L_estimated: 420.1071 norm_grad: 111.5506
step:0.8 (9) L_estimated: 244.6173 norm_grad: 64.7339
step:0.8 (10) L_estimated: 361.2198 norm_grad: 92.8361
step:0.8 (11) L_estimated: 961.8758 norm_grad: 255.4395
step:0.8 (12) L_estimated: 1900.7772 norm_grad: 462.4705
step:0.8 (13) L_estimated: 0.1157 norm_grad: 2.7297
|      0  |     0.7250  |   0.2387  |               |       14.5816  |
step:1.2 (0) L_estimated: 533.4744 norm_grad: 161.5378
step:1.2 (1) L_estimated: 458.4686 norm_grad: 155.0955
step:1.2 (2) L_estimated: 971.1580 norm_grad: 344.4113
step:1.2 (3) L_estimated: 966.3172 norm_grad: 319.3340
step:1.2 (4) L_estimated: 889.9796 norm_grad: 287.4763
step:1.2 (5) L_estimated: 571.7714 norm_grad: 185.8549
step:1.2 (6) L_estimated: 284.2228 norm_grad: 56.9749
step:1.2 (7) L_estimated: 171.3952 norm_grad: 56.7770
step:1.2 (8) L_estimated: 283.3424 norm_grad: 82.9331
step:1.2 (9) L_estimated: 223.9635 norm_grad: 67.5756
step:1.2 (10) L_estimated: 308.0387 norm_grad: 98.5415
step:1.2 (11) L_estimated: 792.2657 norm_grad: 208.5026
step:1.2 (12) L_estimated: 1283.1769 norm_grad: 312.3104
step:1.2 (13) L_estimated: 0.0682 norm_grad: 1.7023
step:1.4 (0) L_estimated: 523.1835 norm_grad: 135.1008
step:1.4 (1) L_estimated: 494.5070 norm_grad: 132.3441
step:1.4 (2) L_estimated: 1028.0757 norm_grad: 319.7319
step:1.4 (3) L_estimated: 964.8704 norm_grad: 310.1216
step:1.4 (4) L_estimated: 937.9891 norm_grad: 285.8649
step:1.4 (5) L_estimated: 624.3317 norm_grad: 183.5362
step:1.4 (6) L_estimated: 304.7559 norm_grad: 52.4607
step:1.4 (7) L_estimated: 291.9542 norm_grad: 52.8882
step:1.4 (8) L_estimated: 387.7917 norm_grad: 78.7566
step:1.4 (9) L_estimated: 263.9089 norm_grad: 54.4688
step:1.4 (10) L_estimated: 327.3044 norm_grad: 76.4989
step:1.4 (11) L_estimated: 821.1825 norm_grad: 175.0018
step:1.4 (12) L_estimated: 1472.6912 norm_grad: 288.2851
step:1.4 (13) L_estimated: 0.0817 norm_grad: 1.5965
step:1.6 (0) L_estimated: 549.2013 norm_grad: 161.7937
step:1.6 (1) L_estimated: 490.1994 norm_grad: 138.3452
step:1.6 (2) L_estimated: 1091.3312 norm_grad: 325.2643
step:1.6 (3) L_estimated: 1060.4637 norm_grad: 320.6490
step:1.6 (4) L_estimated: 970.5779 norm_grad: 293.7512
step:1.6 (5) L_estimated: 613.9277 norm_grad: 186.2644
step:1.6 (6) L_estimated: 208.2280 norm_grad: 55.9833
step:1.6 (7) L_estimated: 246.4845 norm_grad: 46.3209
step:1.6 (8) L_estimated: 365.0277 norm_grad: 85.2903
step:1.6 (9) L_estimated: 339.5254 norm_grad: 85.1793
step:1.6 (10) L_estimated: 400.1584 norm_grad: 99.9244
step:1.6 (11) L_estimated: 891.6266 norm_grad: 210.8266
step:1.6 (12) L_estimated: 1533.3380 norm_grad: 379.3503
step:1.6 (13) L_estimated: 0.0683 norm_grad: 1.6738
step:1.8 (0) L_estimated: 533.5658 norm_grad: 135.6234
step:1.8 (1) L_estimated: 452.5706 norm_grad: 116.8120
step:1.8 (2) L_estimated: 1071.7081 norm_grad: 312.7389
step:1.8 (3) L_estimated: 1103.7306 norm_grad: 321.8656
step:1.8 (4) L_estimated: 944.5305 norm_grad: 288.3376
step:1.8 (5) L_estimated: 650.1255 norm_grad: 186.7338
step:1.8 (6) L_estimated: 233.2460 norm_grad: 58.7531
step:1.8 (7) L_estimated: 250.6709 norm_grad: 48.4686
step:1.8 (8) L_estimated: 340.0204 norm_grad: 75.3259
step:1.8 (9) L_estimated: 296.0817 norm_grad: 74.6782
step:1.8 (10) L_estimated: 354.9296 norm_grad: 92.8598
step:1.8 (11) L_estimated: 818.1298 norm_grad: 186.3456
step:1.8 (12) L_estimated: 1584.5344 norm_grad: 355.8520
step:1.8 (13) L_estimated: 0.0696 norm_grad: 1.4982
|      1  |     0.7955  |   0.5191  |               |       15.6889  |
step:2.2 (0) L_estimated: 624.9620 norm_grad: 137.8626
step:2.2 (1) L_estimated: 483.3938 norm_grad: 125.0220
step:2.2 (2) L_estimated: 1138.4209 norm_grad: 293.3755
step:2.2 (3) L_estimated: 1103.2640 norm_grad: 299.5440
step:2.2 (4) L_estimated: 959.7540 norm_grad: 262.9927
step:2.2 (5) L_estimated: 616.7242 norm_grad: 165.4266
step:2.2 (6) L_estimated: 269.7274 norm_grad: 51.4991
step:2.2 (7) L_estimated: 229.4019 norm_grad: 51.5769
step:2.2 (8) L_estimated: 362.1002 norm_grad: 88.4499
step:2.2 (9) L_estimated: 380.9764 norm_grad: 83.9174
step:2.2 (10) L_estimated: 456.2888 norm_grad: 104.1029
step:2.2 (11) L_estimated: 813.9985 norm_grad: 160.0121
step:2.2 (12) L_estimated: 1464.6110 norm_grad: 273.9346
step:2.2 (13) L_estimated: 0.0613 norm_grad: 1.1499
step:2.4 (0) L_estimated: 625.7230 norm_grad: 157.8953
step:2.4 (1) L_estimated: 518.8721 norm_grad: 130.5462
step:2.4 (2) L_estimated: 1147.1010 norm_grad: 307.5284
step:2.4 (3) L_estimated: 1157.5291 norm_grad: 309.1703
step:2.4 (4) L_estimated: 1001.9255 norm_grad: 266.5482
step:2.4 (5) L_estimated: 633.3642 norm_grad: 160.9096
step:2.4 (6) L_estimated: 290.7427 norm_grad: 57.8098
step:2.4 (7) L_estimated: 299.0400 norm_grad: 66.8220
step:2.4 (8) L_estimated: 360.4631 norm_grad: 79.8033
step:2.4 (9) L_estimated: 397.3156 norm_grad: 83.5426
step:2.4 (10) L_estimated: 470.7487 norm_grad: 101.5218
step:2.4 (11) L_estimated: 829.9028 norm_grad: 152.9799
step:2.4 (12) L_estimated: 1504.7711 norm_grad: 262.7130
step:2.4 (13) L_estimated: 0.0491 norm_grad: 0.9172
step:2.6 (0) L_estimated: 614.8582 norm_grad: 135.9352
step:2.6 (1) L_estimated: 539.9748 norm_grad: 125.2793
step:2.6 (2) L_estimated: 1173.2114 norm_grad: 293.0413
step:2.6 (3) L_estimated: 1203.5999 norm_grad: 305.0783
step:2.6 (4) L_estimated: 1037.8480 norm_grad: 269.6821
step:2.6 (5) L_estimated: 653.1725 norm_grad: 172.6495
step:2.6 (6) L_estimated: 283.6525 norm_grad: 54.9794
step:2.6 (7) L_estimated: 317.1310 norm_grad: 63.4508
step:2.6 (8) L_estimated: 387.6295 norm_grad: 68.6028
step:2.6 (9) L_estimated: 378.0300 norm_grad: 74.5521
step:2.6 (10) L_estimated: 453.8264 norm_grad: 93.8350
step:2.6 (11) L_estimated: 716.3200 norm_grad: 149.9760
step:2.6 (12) L_estimated: 1500.7939 norm_grad: 347.1033
step:2.6 (13) L_estimated: 0.0500 norm_grad: 1.0951
step:2.8 (0) L_estimated: 531.0463 norm_grad: 121.5001
step:2.8 (1) L_estimated: 528.4135 norm_grad: 126.9503
step:2.8 (2) L_estimated: 1176.6442 norm_grad: 305.9092
step:2.8 (3) L_estimated: 1189.7467 norm_grad: 314.9143
step:2.8 (4) L_estimated: 1057.6633 norm_grad: 275.5391
step:2.8 (5) L_estimated: 686.4750 norm_grad: 169.3931
step:2.8 (6) L_estimated: 391.2475 norm_grad: 84.2425
step:2.8 (7) L_estimated: 275.7812 norm_grad: 53.5818
step:2.8 (8) L_estimated: 406.0166 norm_grad: 92.0766
step:2.8 (9) L_estimated: 483.0191 norm_grad: 107.5008
step:2.8 (10) L_estimated: 617.9852 norm_grad: 135.3952
step:2.8 (11) L_estimated: 1008.5714 norm_grad: 203.2861
step:2.8 (12) L_estimated: 1692.8115 norm_grad: 285.9113
step:2.8 (13) L_estimated: 0.0534 norm_grad: 0.9146
|      2  |     0.8430  |   0.3702  |               |       16.7729  |
step:3.2 (0) L_estimated: 512.6345 norm_grad: 112.1623
step:3.2 (1) L_estimated: 509.4672 norm_grad: 114.7538
step:3.2 (2) L_estimated: 1259.2271 norm_grad: 280.5629
step:3.2 (3) L_estimated: 1316.1189 norm_grad: 292.7606
step:3.2 (4) L_estimated: 1138.9619 norm_grad: 261.8303
step:3.2 (5) L_estimated: 724.5757 norm_grad: 171.0278
step:3.2 (6) L_estimated: 242.1544 norm_grad: 53.5254
step:3.2 (7) L_estimated: 271.7891 norm_grad: 45.8960
step:3.2 (8) L_estimated: 394.9876 norm_grad: 66.4890
step:3.2 (9) L_estimated: 458.9256 norm_grad: 78.1415
step:3.2 (10) L_estimated: 510.2853 norm_grad: 93.9148
step:3.2 (11) L_estimated: 845.5894 norm_grad: 163.2474
step:3.2 (12) L_estimated: 1708.1680 norm_grad: 348.9056
step:3.2 (13) L_estimated: 0.0527 norm_grad: 1.0555
step:3.4 (0) L_estimated: 475.8265 norm_grad: 100.6858
step:3.4 (1) L_estimated: 504.6566 norm_grad: 111.1215
step:3.4 (2) L_estimated: 1202.5723 norm_grad: 271.2690
step:3.4 (3) L_estimated: 1298.8583 norm_grad: 288.2346
step:3.4 (4) L_estimated: 1134.8708 norm_grad: 252.5154
step:3.4 (5) L_estimated: 744.1951 norm_grad: 157.7319
step:3.4 (6) L_estimated: 224.0869 norm_grad: 43.7672
step:3.4 (7) L_estimated: 278.7052 norm_grad: 53.6828
step:3.4 (8) L_estimated: 376.4823 norm_grad: 72.6693
step:3.4 (9) L_estimated: 398.9630 norm_grad: 71.1471
step:3.4 (10) L_estimated: 460.9024 norm_grad: 86.0678
step:3.4 (11) L_estimated: 783.2565 norm_grad: 117.9452
step:3.4 (12) L_estimated: 1451.9376 norm_grad: 221.0314
step:3.4 (13) L_estimated: 0.0449 norm_grad: 0.6757
step:3.6 (0) L_estimated: 609.8833 norm_grad: 116.8950
step:3.6 (1) L_estimated: 544.4623 norm_grad: 109.9531
step:3.6 (2) L_estimated: 1291.8507 norm_grad: 273.0308
step:3.6 (3) L_estimated: 1365.9384 norm_grad: 285.1184
step:3.6 (4) L_estimated: 1155.5411 norm_grad: 246.4917
step:3.6 (5) L_estimated: 746.1644 norm_grad: 150.9928
step:3.6 (6) L_estimated: 292.5279 norm_grad: 42.7251
step:3.6 (7) L_estimated: 295.9543 norm_grad: 43.8320
step:3.6 (8) L_estimated: 526.8914 norm_grad: 76.1785
step:3.6 (9) L_estimated: 517.6472 norm_grad: 75.6742
step:3.6 (10) L_estimated: 672.9508 norm_grad: 89.3796
step:3.6 (11) L_estimated: 1016.4330 norm_grad: 128.6992
step:3.6 (12) L_estimated: 1413.7921 norm_grad: 198.1653
step:3.6 (13) L_estimated: 0.0397 norm_grad: 0.5712
step:3.8 (0) L_estimated: 466.6392 norm_grad: 105.2820
step:3.8 (1) L_estimated: 505.6762 norm_grad: 106.7625
step:3.8 (2) L_estimated: 1257.6611 norm_grad: 262.2220
step:3.8 (3) L_estimated: 1400.7943 norm_grad: 285.1916
step:3.8 (4) L_estimated: 1201.3148 norm_grad: 243.5746
step:3.8 (5) L_estimated: 783.7112 norm_grad: 149.6727
step:3.8 (6) L_estimated: 238.8111 norm_grad: 39.4435
step:3.8 (7) L_estimated: 266.8915 norm_grad: 43.8399
step:3.8 (8) L_estimated: 303.7524 norm_grad: 58.8228
step:3.8 (9) L_estimated: 422.7416 norm_grad: 67.2001
step:3.8 (10) L_estimated: 585.7945 norm_grad: 95.7758
step:3.8 (11) L_estimated: 784.8181 norm_grad: 121.8250
step:3.8 (12) L_estimated: 1691.7982 norm_grad: 193.6656
step:3.8 (13) L_estimated: 0.0491 norm_grad: 0.5636
|      3  |     0.8905  |   0.7232  |               |       17.8618  |
step:4.2 (0) L_estimated: 619.5307 norm_grad: 110.2738
step:4.2 (1) L_estimated: 601.5110 norm_grad: 107.2303
step:4.2 (2) L_estimated: 1408.7499 norm_grad: 265.1467
step:4.2 (3) L_estimated: 1501.4238 norm_grad: 279.6024
step:4.2 (4) L_estimated: 1299.2826 norm_grad: 242.1846
step:4.2 (5) L_estimated: 785.6368 norm_grad: 141.5313
step:4.2 (6) L_estimated: 368.1257 norm_grad: 33.7957
step:4.2 (7) L_estimated: 310.5199 norm_grad: 43.5589
step:4.2 (8) L_estimated: 445.9591 norm_grad: 55.7234
step:4.2 (9) L_estimated: 553.6232 norm_grad: 73.3808
step:4.2 (10) L_estimated: 736.6552 norm_grad: 110.1858
step:4.2 (11) L_estimated: 1104.4142 norm_grad: 142.9489
step:4.2 (12) L_estimated: 1499.5048 norm_grad: 143.5637
step:4.2 (13) L_estimated: 0.0393 norm_grad: 0.4080
step:4.4 (0) L_estimated: 513.8492 norm_grad: 94.3734
step:4.4 (1) L_estimated: 590.7128 norm_grad: 104.4211
step:4.4 (2) L_estimated: 1407.0985 norm_grad: 251.9039
step:4.4 (3) L_estimated: 1527.2815 norm_grad: 273.9333
step:4.4 (4) L_estimated: 1337.1121 norm_grad: 245.0051
step:4.4 (5) L_estimated: 854.3217 norm_grad: 155.9221
step:4.4 (6) L_estimated: 255.8706 norm_grad: 31.7106
step:4.4 (7) L_estimated: 296.2754 norm_grad: 39.9076
step:4.4 (8) L_estimated: 406.4382 norm_grad: 57.2003
step:4.4 (9) L_estimated: 479.2952 norm_grad: 73.6701
step:4.4 (10) L_estimated: 580.6046 norm_grad: 87.1875
step:4.4 (11) L_estimated: 1053.8768 norm_grad: 157.5840
step:4.4 (12) L_estimated: 1634.7968 norm_grad: 260.6503
step:4.4 (13) L_estimated: 0.0374 norm_grad: 0.6838
step:4.6 (0) L_estimated: 530.5627 norm_grad: 88.9787
step:4.6 (1) L_estimated: 585.5912 norm_grad: 100.1818
step:4.6 (2) L_estimated: 1523.3928 norm_grad: 254.9337
step:4.6 (3) L_estimated: 1591.2462 norm_grad: 275.5805
step:4.6 (4) L_estimated: 1410.0562 norm_grad: 241.0619
step:4.6 (5) L_estimated: 846.8923 norm_grad: 143.9255
step:4.6 (6) L_estimated: 387.9801 norm_grad: 38.9099
step:4.6 (7) L_estimated: 285.1306 norm_grad: 38.7676
step:4.6 (8) L_estimated: 539.9011 norm_grad: 68.2388
step:4.6 (9) L_estimated: 497.2423 norm_grad: 69.3244
step:4.6 (10) L_estimated: 585.4417 norm_grad: 89.6760
step:4.6 (11) L_estimated: 815.4014 norm_grad: 130.5987
step:4.6 (12) L_estimated: 1241.9011 norm_grad: 177.5909
step:4.6 (13) L_estimated: 0.0332 norm_grad: 0.4277
step:4.8 (0) L_estimated: 602.7618 norm_grad: 91.7063
step:4.8 (1) L_estimated: 678.5076 norm_grad: 106.2819
step:4.8 (2) L_estimated: 1667.4744 norm_grad: 269.2962
step:4.8 (3) L_estimated: 1852.1294 norm_grad: 296.0546
step:4.8 (4) L_estimated: 1593.5334 norm_grad: 258.8797
step:4.8 (5) L_estimated: 1004.4343 norm_grad: 157.6373
step:4.8 (6) L_estimated: 255.5499 norm_grad: 31.4038
step:4.8 (7) L_estimated: 245.3541 norm_grad: 41.6223
step:4.8 (8) L_estimated: 476.9390 norm_grad: 67.5669
step:4.8 (9) L_estimated: 578.0743 norm_grad: 72.2582
step:4.8 (10) L_estimated: 784.7777 norm_grad: 101.4364
step:4.8 (11) L_estimated: 1461.1979 norm_grad: 182.7163
step:4.8 (12) L_estimated: 1932.7716 norm_grad: 239.9328
step:4.8 (13) L_estimated: 0.0533 norm_grad: 0.6042
|      4  |     0.9075  |   0.7495  |               |       18.9478  |
step:5.2 (0) L_estimated: 684.7391 norm_grad: 92.3415
step:5.2 (1) L_estimated: 738.2438 norm_grad: 98.0616
step:5.2 (2) L_estimated: 1760.7211 norm_grad: 241.3938
step:5.2 (3) L_estimated: 1923.0139 norm_grad: 255.4915
step:5.2 (4) L_estimated: 1665.3770 norm_grad: 219.8961
step:5.2 (5) L_estimated: 1027.0758 norm_grad: 131.6226
step:5.2 (6) L_estimated: 310.9148 norm_grad: 42.7333
step:5.2 (7) L_estimated: 304.2627 norm_grad: 38.0857
step:5.2 (8) L_estimated: 500.9434 norm_grad: 54.7368
step:5.2 (9) L_estimated: 585.0817 norm_grad: 62.2387
step:5.2 (10) L_estimated: 668.1063 norm_grad: 67.2930
step:5.2 (11) L_estimated: 1116.7405 norm_grad: 97.1395
step:5.2 (12) L_estimated: 1818.4562 norm_grad: 129.9072
step:5.2 (13) L_estimated: 0.0485 norm_grad: 0.3409
step:5.4 (0) L_estimated: 740.3824 norm_grad: 92.1427
step:5.4 (1) L_estimated: 788.9431 norm_grad: 102.6487
step:5.4 (2) L_estimated: 1946.9376 norm_grad: 251.5242
step:5.4 (3) L_estimated: 1947.8618 norm_grad: 263.1173
step:5.4 (4) L_estimated: 1742.6794 norm_grad: 229.5593
step:5.4 (5) L_estimated: 1074.6567 norm_grad: 135.2632
step:5.4 (6) L_estimated: 436.0892 norm_grad: 31.4600
step:5.4 (7) L_estimated: 371.8676 norm_grad: 37.9362
step:5.4 (8) L_estimated: 511.7646 norm_grad: 48.8771
step:5.4 (9) L_estimated: 619.1655 norm_grad: 73.7073
step:5.4 (10) L_estimated: 678.2568 norm_grad: 75.8361
step:5.4 (11) L_estimated: 1093.5967 norm_grad: 102.7392
step:5.4 (12) L_estimated: 1687.4265 norm_grad: 150.1278
step:5.4 (13) L_estimated: 0.0453 norm_grad: 0.4121
step:5.6 (0) L_estimated: 712.9921 norm_grad: 85.2869
step:5.6 (1) L_estimated: 816.8106 norm_grad: 98.4842
step:5.6 (2) L_estimated: 2047.0695 norm_grad: 245.9123
step:5.6 (3) L_estimated: 2123.3152 norm_grad: 266.7391
step:5.6 (4) L_estimated: 1935.5780 norm_grad: 235.4924
step:5.6 (5) L_estimated: 1188.7944 norm_grad: 140.7556
step:5.6 (6) L_estimated: 282.4434 norm_grad: 32.4115
step:5.6 (7) L_estimated: 337.9063 norm_grad: 39.1592
step:5.6 (8) L_estimated: 493.9719 norm_grad: 54.8569
step:5.6 (9) L_estimated: 691.4747 norm_grad: 73.7830
step:5.6 (10) L_estimated: 763.0840 norm_grad: 82.7742
step:5.6 (11) L_estimated: 1111.7809 norm_grad: 108.4770
step:5.6 (12) L_estimated: 2081.6831 norm_grad: 199.0385
step:5.6 (13) L_estimated: 0.0465 norm_grad: 0.4147
step:5.8 (0) L_estimated: 776.6430 norm_grad: 89.1899
step:5.8 (1) L_estimated: 878.5537 norm_grad: 99.0757
step:5.8 (2) L_estimated: 2169.1865 norm_grad: 240.9549
step:5.8 (3) L_estimated: 2263.8796 norm_grad: 260.6698
step:5.8 (4) L_estimated: 2137.2180 norm_grad: 229.7579
step:5.8 (5) L_estimated: 1331.5261 norm_grad: 133.9709
step:5.8 (6) L_estimated: 281.5886 norm_grad: 30.8203
step:5.8 (7) L_estimated: 317.4784 norm_grad: 29.3016
step:5.8 (8) L_estimated: 425.5476 norm_grad: 42.3374
step:5.8 (9) L_estimated: 671.6246 norm_grad: 62.5045
step:5.8 (10) L_estimated: 805.1024 norm_grad: 70.2168
step:5.8 (11) L_estimated: 1476.6603 norm_grad: 100.1711
step:5.8 (12) L_estimated: 2521.3584 norm_grad: 158.7295
step:5.8 (13) L_estimated: 0.0599 norm_grad: 0.3744
|      5  |     0.9350  |   0.8732  |               |       20.0363  |
step:6.2 (0) L_estimated: 845.2386 norm_grad: 76.9650
step:6.2 (1) L_estimated: 965.8140 norm_grad: 91.9327
step:6.2 (2) L_estimated: 2518.5513 norm_grad: 237.7937
step:6.2 (3) L_estimated: 2723.0762 norm_grad: 253.9200
step:6.2 (4) L_estimated: 2376.9585 norm_grad: 223.9219
step:6.2 (5) L_estimated: 1306.2142 norm_grad: 125.4021
step:6.2 (6) L_estimated: 487.0865 norm_grad: 31.7415
step:6.2 (7) L_estimated: 373.0782 norm_grad: 25.2489
step:6.2 (8) L_estimated: 544.6234 norm_grad: 50.0500
step:6.2 (9) L_estimated: 796.6361 norm_grad: 63.6203
step:6.2 (10) L_estimated: 932.2304 norm_grad: 73.0930
step:6.2 (11) L_estimated: 1045.3276 norm_grad: 94.0659
step:6.2 (12) L_estimated: 1249.8412 norm_grad: 132.2492
step:6.2 (13) L_estimated: 0.0356 norm_grad: 0.3315
step:6.4 (0) L_estimated: 993.3774 norm_grad: 80.5216
step:6.4 (1) L_estimated: 1140.1218 norm_grad: 96.7635
step:6.4 (2) L_estimated: 2923.1838 norm_grad: 247.7750
step:6.4 (3) L_estimated: 3177.5332 norm_grad: 265.0145
step:6.4 (4) L_estimated: 2788.2144 norm_grad: 237.3485
step:6.4 (5) L_estimated: 1621.0945 norm_grad: 138.7316
step:6.4 (6) L_estimated: 462.2635 norm_grad: 29.4088
step:6.4 (7) L_estimated: 414.8517 norm_grad: 31.5911
step:6.4 (8) L_estimated: 816.4958 norm_grad: 60.8085
step:6.4 (9) L_estimated: 980.9244 norm_grad: 77.7660
step:6.4 (10) L_estimated: 1089.8477 norm_grad: 85.2772
step:6.4 (11) L_estimated: 1589.2012 norm_grad: 140.6124
step:6.4 (12) L_estimated: 2196.7168 norm_grad: 187.2623
step:6.4 (13) L_estimated: 0.0533 norm_grad: 0.4479
step:6.6 (0) L_estimated: 1159.4128 norm_grad: 82.1905
step:6.6 (1) L_estimated: 1306.2148 norm_grad: 98.2012
step:6.6 (2) L_estimated: 3302.5837 norm_grad: 243.8879
step:6.6 (3) L_estimated: 3594.1343 norm_grad: 261.0013
step:6.6 (4) L_estimated: 3031.5410 norm_grad: 225.7056
step:6.6 (5) L_estimated: 1765.0728 norm_grad: 127.7464
step:6.6 (6) L_estimated: 584.9052 norm_grad: 37.0871
step:6.6 (7) L_estimated: 519.8503 norm_grad: 34.3175
step:6.6 (8) L_estimated: 907.3406 norm_grad: 49.2421
step:6.6 (9) L_estimated: 1056.9327 norm_grad: 63.1579
step:6.6 (10) L_estimated: 1316.3223 norm_grad: 79.8411
step:6.6 (11) L_estimated: 1699.1786 norm_grad: 107.6448
step:6.6 (12) L_estimated: 2081.6741 norm_grad: 126.6684
step:6.6 (13) L_estimated: 0.0523 norm_grad: 0.3386
step:6.8 (0) L_estimated: 1347.5247 norm_grad: 82.2917
step:6.8 (1) L_estimated: 1523.6373 norm_grad: 90.1315
